institution_id,public_health_id,target_id,canonical_name,institution_type,target_resolution_status,current_status,address,representative_phone,homepage_url,jurisdiction,matched_by,match_confidence,match_evidence,match_source_url,match_evidence_hash,source_url,source_reference,source_updated_at,evidence_hash,source_candidate_id,has_conflict,review_status
public:442a5f81460e13ce,public_health:c08c08e890a768f4,phc:wonju,원주시보건소,public_health_center,matched_existing,source_confirmed,원주시 원일로 139,033-737-4011,https://www.wonju.go.kr/health/index.do,원주시,name_base_address,1.0000,"{""master_base_address"": ""원일로139"", ""master_name"": ""원주시보건소"", ""master_phone"": ""033-737-4026"", ""matching_contact_evidence_hash"": """", ""matching_contact_id"": """", ""matching_contact_source_url"": """", ""source_base_address"": ""원일로139"", ""source_name"": ""원주시보건소"", ""source_phones"": [""0337374011""]}",https://www.wonju.go.kr/health/contents.do?key=1624,314d84ec74c7075ab836a2800a4620db7f7c7bda396256030f405b6b6976e896,https://www.wonju.go.kr/health/contents.do?key=1624,,2026.02.24,314d84ec74c7075ab836a2800a4620db7f7c7bda396256030f405b6b6976e896,ebb1a4b1695824cfa12e,False,verified
public:98f872e7825d45cd,public_health:b9e6fe7edd46c7f9,phb:munmak,문막읍보건지소,public_health_branch,matched_existing,source_confirmed,원주시 문막읍 건등로 11 (건등리 1718),,,원주시,name_base_address,1.0000,"{""master_base_address"": ""건등로11"", ""master_name"": ""문막읍보건지소"", ""master_phone"": ""033-737-4531"", ""matching_contact_evidence_hash"": """", ""matching_contact_id"": """", ""matching_contact_source_url"": """", ""source_base_address"": ""건등로11"", ""source_name"": ""문막읍보건지소"", ""source_phones"": [""0337374531""]}",https://www.wonju.go.kr/health/contents.do?key=5155,7ee4ce71a86d3c7436eb7ae16ae48ec93f81dd03188657f3aeec9db440b92b2d,https://www.wonju.go.kr/health/contents.do?key=5155,,2026.03.09,7ee4ce71a86d3c7436eb7ae16ae48ec93f81dd03188657f3aeec9db440b92b2d,3d1132e329137d2a9951,False,verified
public:508212201bfb7f86,public_health:31556e04f04d20b3,phb:socho,소초면보건지소,public_health_branch,matched_existing,source_confirmed,원주시 치악로 2790 (평장리 789-1),,,원주시,name_base_address,1.0000,"{""master_base_address"": ""치악로2790"", ""master_name"": ""소초면보건지소"", ""master_phone"": ""033-737-4532"", ""matching_contact_evidence_hash"": """", ""matching_contact_id"": """", ""matching_contact_source_url"": """", ""source_base_address"": ""치악로2790"", ""source_name"": ""소초면보건지소"", ""source_phones"": [""0337374532""]}",https://www.wonju.go.kr/health/contents.do?key=5155,075732fed347b1c0c613d3c1ab3f22e1676548bc8882155b1b3635b2f8fac8a1,https://www.wonju.go.kr/health/contents.do?key=5155,,2026.03.09,075732fed347b1c0c613d3c1ab3f22e1676548bc8882155b1b3635b2f8fac8a1,d485ab82537be6e31979,False,verified
public:02acfead706a2eb8,public_health:32174ab10c2f6673,phb:jijeong,지정면보건지소,public_health_branch,matched_existing,source_confirmed,원주시 지정면 간현로 126 (간현리 849-1),,,원주시,name_base_address,1.0000,"{""master_base_address"": ""간현로126"", ""master_name"": ""지정면보건지소"", ""master_phone"": ""033-737-4534"", ""matching_contact_evidence_hash"": """", ""matching_contact_id"": """", ""matching_contact_source_url"": """", ""source_base_address"": ""간현로126"", ""source_name"": ""지정면보건지소"", ""source_phones"": []}",https://www.wonju.go.kr/health/contents.do?key=5155,4361318c9d14abf9ec60cbb1bf9d283c8a6b9dad880e2eb8f31a4302c16dd412,https://www.wonju.go.kr/health/contents.do?key=5155,,2026.03.09,4361318c9d14abf9ec60cbb1bf9d283c8a6b9dad880e2eb8f31a4302c16dd412,04edb2ddecdfd159caf7,False,verified
public:p0:edd7e0e80c7973ce,public_health:edd7e0e80c7973ce,phb:buro,부론면보건지소,public_health_branch,created_new,source_confirmed,원주시 부론면 법천시장길 59 (법천리 1449-4),,,원주시,official_name_address_created_new,1.0000,"{""evidence_hash"": ""0694293b9904d3ecc62460113eed3e671ea376455d5b624ccb9c347fc7ba1648"", ""official_name"": ""부론면보건지소"", ""source_url"": ""https://www.wonju.go.kr/health/contents.do?key=5155"", ""wonju_address"": ""원주시 부론면 법천시장길 59 (법천리 1449-4)""}",https://www.wonju.go.kr/health/contents.do?key=5155,0694293b9904d3ecc62460113eed3e671ea376455d5b624ccb9c347fc7ba1648,https://www.wonju.go.kr/health/contents.do?key=5155,,2026.03.09,0694293b9904d3ecc62460113eed3e671ea376455d5b624ccb9c347fc7ba1648,e20a8e9836537b37e1ff,False,verified
public:e6751a5267a0999a,public_health:9cab3446ad059156,phb:gwichang,귀래면보건지소,public_health_branch,matched_existing,source_confirmed,원주시 귀래면 북원로 106 (운남리 555-5),,,원주시,name_base_address,1.0000,"{""master_base_address"": ""북원로106"", ""master_name"": ""귀래면보건지소"", ""master_phone"": ""033-737-4536"", ""matching_contact_evidence_hash"": """", ""matching_contact_id"": """", ""matching_contact_source_url"": """", ""source_base_address"": ""북원로106"", ""source_name"": ""귀래면보건지소"", ""source_phones"": []}",https://www.wonju.go.kr/health/contents.do?key=5155,8ad54560e643fcfcf034c6a207a3a528314cc300afb8c3bd936c136e94a1692a,https://www.wonju.go.kr/health/contents.do?key=5155,,2026.03.09,8ad54560e643fcfcf034c6a207a3a528314cc300afb8c3bd936c136e94a1692a,1bc9dfcff61584ada6e4,False,verified
public:854880130c8c10d7,public_health:6f4b7371968c4a0b,phb:heungeop,흥업면보건지소,public_health_branch,matched_existing,source_confirmed,원주시 흥업면 울업1길 3 (흥업리 73-10),,,원주시,name_base_address,1.0000,"{""master_base_address"": ""울업1길3"", ""master_name"": ""흥업면보건지소"", ""master_phone"": ""033-737-4537"", ""matching_contact_evidence_hash"": """", ""matching_contact_id"": """", ""matching_contact_source_url"": """", ""source_base_address"": ""울업1길3"", ""source_name"": ""흥업면보건지소"", ""source_phones"": []}",https://www.wonju.go.kr/health/contents.do?key=5155,effc7cee23140aadc7dfbb17e70a2cf2935539dc8b25290addbf2e8d0af990ca,https://www.wonju.go.kr/health/contents.do?key=5155,,2026.03.09,effc7cee23140aadc7dfbb17e70a2cf2935539dc8b25290addbf2e8d0af990ca,23527bdbb2f6c5e6e480,False,verified
public:64530d40bd82a021,public_health:7d1b4ae138367192,phb:hojeo,호저면보건지소,public_health_branch,matched_existing,source_confirmed,원주시 호저면 호저로 429 (주산리 522),,,원주시,name_base_address,1.0000,"{""master_base_address"": ""호저로429"", ""master_name"": ""호저면보건지소"", ""master_phone"": ""033-737-4533"", ""matching_contact_evidence_hash"": """", ""matching_contact_id"": """", ""matching_contact_source_url"": """", ""source_base_address"": ""호저로429"", ""source_name"": ""호저면보건지소"", ""source_phones"": []}",https://www.wonju.go.kr/health/contents.do?key=5155,e10a0c815ed11d969a7d4a03fca261cf0686429466800169b4a034afed4ef2f4,https://www.wonju.go.kr/health/contents.do?key=5155,,2026.03.09,e10a0c815ed11d969a7d4a03fca261cf0686429466800169b4a034afed4ef2f4,42ad3c5517336c417937,False,verified
public:be79b69ae8d741a8,public_health:9feb5b5d9be65c88,phb:panjeon,판부면보건지소,public_health_branch,matched_existing,source_confirmed,원주시 치악로 1501 (관설동 1452-4),,,원주시,name_base_address,1.0000,"{""master_base_address"": ""치악로1501"", ""master_name"": ""판부면보건지소"", ""master_phone"": ""033-737-4538"", ""matching_contact_evidence_hash"": """", ""matching_contact_id"": """", ""matching_contact_source_url"": """", ""source_base_address"": ""치악로1501"", ""source_name"": ""판부면보건지소"", ""source_phones"": []}",https://www.wonju.go.kr/health/contents.do?key=5155,92af54973b6949bee7c9c6cfb265d2ef3f389a031cf3115c6780a183cbdfbe99,https://www.wonju.go.kr/health/contents.do?key=5155,,2026.03.09,92af54973b6949bee7c9c6cfb265d2ef3f389a031cf3115c6780a183cbdfbe99,4515cac38fcc805b13ea,False,verified
public:2bfea25adb535f46,public_health:25a08e1f9a2740d8,phb:sillim,신림면보건지소,public_health_branch,matched_existing,source_confirmed,원주시 신림면 치악로 28-2 (신림리 530-9),,,원주시,name_phone,1.0000,"{""master_base_address"": ""치악로32"", ""master_name"": ""신림면보건지소"", ""master_phone"": ""033-737-4539"", ""matching_contact_evidence_hash"": ""cbb7e808d40fc72c0a556b41f317d25aa18e6f4aca6f8f5945bd36b33fcc9692"", ""matching_contact_id"": ""contact:847134816acecb5f780b"", ""matching_contact_source_url"": ""https://www.wonju.go.kr/health/selectEmployeeList.do?key=5464&searchCnd=all&searchDeptCode=1%404191050"", ""source_base_address"": ""치악로28-2"", ""source_name"": ""신림면보건지소"", ""source_phones"": [""0337374539""]}",https://www.wonju.go.kr/health/selectEmployeeList.do?key=5464&searchCnd=all&searchDeptCode=1%404191050,cbb7e808d40fc72c0a556b41f317d25aa18e6f4aca6f8f5945bd36b33fcc9692,https://www.wonju.go.kr/health/contents.do?key=5155,,2026.03.09,1fa21b849d1d2c38edd7ba4c4be8babd66f5d005e2c837b31e630585475eef6b,c78a78140fb20ec7ef16,False,verified
