candidate_id,target_id,source_url,evidence_type,evidence_text,evidence_hash
3d1132e329137d2a9951,phb:munmak,https://www.wonju.go.kr/health/contents.do?key=5155,entity,문막읍보건지소 | 문막읍 건등로 11 (건등리 1718) | 2002 | 382.45 |,7ee4ce71a86d3c7436eb7ae16ae48ec93f81dd03188657f3aeec9db440b92b2d
d485ab82537be6e31979,phb:socho,https://www.wonju.go.kr/health/contents.do?key=5155,entity,소초면보건지소 | 치악로 2790 (평장리 789-1) | 2009 | 363.68 |,075732fed347b1c0c613d3c1ab3f22e1676548bc8882155b1b3635b2f8fac8a1
42ad3c5517336c417937,phb:hojeo,https://www.wonju.go.kr/health/contents.do?key=5155,entity,호저면보건지소 | 호저면 호저로 429 (주산리 522) | 2010 | 372.31 |,e10a0c815ed11d969a7d4a03fca261cf0686429466800169b4a034afed4ef2f4
04edb2ddecdfd159caf7,phb:jijeong,https://www.wonju.go.kr/health/contents.do?key=5155,entity,지정면보건지소 | 지정면 간현로 126 (간현리 849-1) | 2010 | 360.11 |,4361318c9d14abf9ec60cbb1bf9d283c8a6b9dad880e2eb8f31a4302c16dd412
e20a8e9836537b37e1ff,phb:buro,https://www.wonju.go.kr/health/contents.do?key=5155,entity,부론면보건지소 | 부론면 법천시장길 59 (법천리 1449-4) | 2009 | 345.2 |,0694293b9904d3ecc62460113eed3e671ea376455d5b624ccb9c347fc7ba1648
1bc9dfcff61584ada6e4,phb:gwichang,https://www.wonju.go.kr/health/contents.do?key=5155,entity,귀래면보건지소 | 귀래면 북원로 106 (운남리 555-5) | 2004 | 338.43 |,8ad54560e643fcfcf034c6a207a3a528314cc300afb8c3bd936c136e94a1692a
23527bdbb2f6c5e6e480,phb:heungeop,https://www.wonju.go.kr/health/contents.do?key=5155,entity,흥업면보건지소 | 흥업면 울업1길 3 (흥업리 73-10) | 2012 | 344.54 |,effc7cee23140aadc7dfbb17e70a2cf2935539dc8b25290addbf2e8d0af990ca
4515cac38fcc805b13ea,phb:panjeon,https://www.wonju.go.kr/health/contents.do?key=5155,entity,판부면보건지소 | 치악로 1501 (관설동 1452-4) | 2006 | 392.47 |,92af54973b6949bee7c9c6cfb265d2ef3f389a031cf3115c6780a183cbdfbe99
c78a78140fb20ec7ef16,phb:sillim,https://www.wonju.go.kr/health/contents.do?key=5155,entity,신림면보건지소 | 신림면 치악로 28-2 (신림리 530-9) | 2007 | 375.18 |,1fa21b849d1d2c38edd7ba4c4be8babd66f5d005e2c837b31e630585475eef6b
00ca5a2e8f55271b6e1a,phc:bi-do,https://www.wonju.go.kr/health/contents.do?key=5155,entity,비두보건진료소 | 문막읍 귀문로 956 (비두리 1093) | 2004 | 154.55 |,e7530e904b4177f69a6ceadb62e074a9bd8e9ced06c66c6605b48c14545e18f9
f1fd5f0ef45572498cb6,phc:hakgok,https://www.wonju.go.kr/health/contents.do?key=5155,entity,학곡보건진료소 | 소초면 구룡사로 5 (학곡리 367-5) | 2005 | 190.44 |,df2ece1acf2be18ed65f2af9c1781ee76a54fe133213786c6a4531d486f13f53
eee913937c65bf9eb6cd,phc:gosan,https://www.wonju.go.kr/health/contents.do?key=5155,entity,고산보건진료소 | 호저면 광학로 16 (광격리 819-6) | 2003 | 158.84 |,3f2575175cd4447549725b31090214dc7dc0fcb530076ef6de7253aba160a2f9
37e60804062255ed5633,phc:sanhyeon,https://www.wonju.go.kr/health/contents.do?key=5155,entity,산현보건지료소 | 호저면 칠봉로 380 (산현리 179-4) | 2007 | 150.93 |,048959f07dc1df22a85fea893a26995e9c596db4d40ba9aa2f7fc00b5d51ed82
58ac4c548135eaacad50,phc:pandae,https://www.wonju.go.kr/health/contents.do?key=5155,entity,판대보건진료소 | 지정면 장지길 2 (판대리 169-1) | 2013 | 172.17 |,a5126b95d5a920694fa66cbfc0f9df5dd36504fe1bcd9c851f15771a9ff3a6f9
abf448829ad60f803c18,phc:dangang,https://www.wonju.go.kr/health/contents.do?key=5155,entity,단강보건진료소 | 부론면 부귀로 753 (단강리 1382-2) | 2005 | 164.07 |,5d943f493fce41fe3f6c299576dd59c8706d1b35dadc3fca2dd2cc22e4a8e200
e4a616eb550c81004236,phc:saje,https://www.wonju.go.kr/health/contents.do?key=5155,entity,사제보건진료소 | 흥업면 사제로 424 (사제리 495-1) | 2005 | 155.44 |,ca8f8da6f7850480013cec911b627854cc25b1c16f82ceffb145564e8bb8de66
80aebe3ed4909e6cb3be,phc:hwangdun,https://www.wonju.go.kr/health/contents.do?key=5155,entity,황둔보건진료소 | 신림면 신림황둔로 1213 (황둔리 334-1) | 2004 | 173.76 |,8eb43fb26846923af06ec2224310383f28ae0cc9007d76a4079ac5bd296ae758
ebb1a4b1695824cfa12e,phc:wonju,https://www.wonju.go.kr/health/contents.do?key=1624,entity,"무단수집거부 홈페이지개선의견 맨위로 원주시 보건소 [26417] 강원특별자치도 원주시 원일로 139 （일산동） 대표전화 : 033-737-4011 팩스 : 033-737-4826 Copyright ⓒ 2020 Wonju-si . All Rights Reserved 본 홈페이지에 게시된 이메일 주소 자동수집을 거부하며, 이를 위반시 정보통신망법에 의해 처벌됨을 유념하시기 바랍니다.",314d84ec74c7075ab836a2800a4620db7f7c7bda396256030f405b6b6976e896
e21905126d99cc1aecea,hls:namwonju,https://www.wonju.go.kr/health/contents.do?key=3745,entity,"클리닉 운영(혁신분소) 신청방법 및 비용 방문접수 및 전화접수 / 무료 남원주건강생활지원센터 주소: 강원특별자치도 원주시 단관공원길 86 혁신분소 주소: 강원특별자치도 원주시 건강로 73 ※일반진료, 예방접종, 보건증 발급 제외 문의전화 : 남원주건강생활지원센터 033-737-5278 / 혁신분소 033-737-4952 운영 프로그램 01 통합 건강상담실 운영 기간 : 연중 대상 : 지역주민 내용 : 만성질환 관리(기본검사, 체성분) 및 상담 / 맞춤형 영양 및 운동 상담 02 ONEWAY 동아리 운영 기간 : 연중 대상 : 지역주민 15명 내용 : 20세",a767413b745dccd4d498d243a58e464e90b9558271e8da2e27b864656cea729b
e2b729ddf405c49772d8,hls:namwonju-annex,https://www.wonju.go.kr/health/contents.do?key=3745,entity,"무료 남원주건강생활지원센터 주소: 강원특별자치도 원주시 단관공원길 86 혁신분소 주소: 강원특별자치도 원주시 건강로 73 ※일반진료, 예방접종, 보건증 발급 제외 문의전화 : 남원주건강생활지원센터 033-737-5278 / 혁신분소 033-737-4952 운영 프로그램 01 통합 건강상담실 운영 기간 : 연중 대상 : 지역주민 내용 : 만성질환 관리(기본검사, 체성분) 및 상담 / 맞춤형 영양 및 운동 상담 02 ONEWAY 동아리 운영 기간 : 연중 대상 : 지역주민 15명 내용 : 20세~60세 연령의 생활 속 운동 03 퍼펙트 실버 운동교",1db1e3f88a6864938c41ed6dc000db54a3941c390586641382058a82396964de
0e70ee619398c0e9620c,hls:seowonju,https://www.wonju.go.kr/health/contents.do?key=5551,entity,"사업 금연 클리닉 운영 신청방법 및 비용 방문접수 및 전화접수 / 무료 주소:강원특별자치도 원주시 지정면 가곡로 75-2 ※일반진료, 예방접종, 보건증 발급 제외 문의전화 : 건강상담실(만성질환/금연상담) 033-737-3725, (영양상담) 033-737-3726, (운동상담) 033-737-3724 운영 프로그램 01 통합 건강상담실 운영 기간 : 연중 (주말, 공휴일 휴무 / 점심시간 12:00~13:00) 대상 : 지역주민 내용 : 만성질환 관리(기본검사) 및 상담 / 체성분 측정 / 맞춤형 영양 및 운동 상담 - 검사항목 안내 검사항목 안내 - 검사 항목, 검사일, 검사 주기, 금식 유무에 대한 테이블입니다. 검사 항목 검사일 검사 주기 금식 유무 혈압 월~금 상시 - 혈당 월~금 식전 8시간 이상 금식 식후2시간 - 당화혈색소 화, 목",bc708fd1e08efd3019242f622b364dc2ebfb0d3016e68ff37deab6c665ce95de
6cc835bb12191cb2b662,mh:wonju,https://www.wonju.go.kr/health/contents.do?key=6230,entity,"원주시 정신건강복지센터 (일산동) 사업내용 자살시도자 및 자살위기자 상담 및 사례관리 지역주민 및 직장인 대상 자살 예방교육 자살예방사업 홍보, 자살예방 환경 조성 자살유족원스톱서비스 지원 생명사랑 위기상담전화 운영 일반전화 1577-0199, 746-0199, 보건복지콜센터 129 원주시정신건강복지센터 이용시간 : 평일 AM 09:00 ~ PM 18:00 위치 : 원주시 원일로 139 원주시보건소 4층 홈페이지 : http://loveme.yonsei.kr",84ceaf4e91f3108747875a75e3505aa827c54673cb1be54bd3745c13dc92c942
f46425804c13d73f89f6,mh:suicide,https://loveme.yonsei.kr/,entity,자살예방센터 033-746-0198,0313053fb944cdef63843637fcf93a0c95f05a2a5f2e9c633d2ad76a94e1c73d
